godina;sifra;naziv;iznos_eur;broj_isplata;broj_primatelja;udio_posto
2025;3112;PLAĆE U NARAVI;91443.26;160;5;0.00
2025;3434;OSTALI NESPOMENUTI FINANCIJSKI RASHODI;85677.12;1409;87;0.00
2025;3812;TEKUĆE DONACIJE U NARAVI;75500.12;217;217;0.00
2025;4243;MUZEJSKI IZLOŠCI I PREDMETI PRIRODNIH RIJETKOSTI;66300.00;3;3;0.00
2025;4211;STAMBENI OBJEKTI;41131.03;5;3;0.00
2025;5341;DIONICE I UDJELI U GLAVNICI TUZEMNIH TRGOVAČKIH DRUŠTAVA IZVAN JAVNOG SEKTORA;39102.00;1;1;0.00
2025;4541;DODATNA ULAGANJA ZA OSTALU NEFINANCIJSKU IMOVINU;34271.67;2;1;0.00
2025;3681;TEKUĆE POMOĆI TEMELJEM PRIJENOSA EU SREDSTAVA;32811.61;6;2;0.00
2025;3214;OSTALE NAKNADE TROŠKOVA ZAPOSLENIMA;25660.49;84;17;0.00
2025;4521;DODATNA ULAGANJA NA POSTROJENJIMA I OPREMI;17816.25;2;2;0.00
2025;23954;OSTALE NESPOMENUTE OBVEZE;15869.92;1;1;0.00
2025;1291;POTRAŽIVANJA ZA NAKNADE KOJE SE REFUNDIRAJU I PREDUJMOVE;-378852.44;210;1;-0.02
2026;3111;PLAĆE ZA REDOVAN RAD;272143555.95;3662;305;21.13
2026;3512;SUBVENCIJE TRGOVAČKIM DRUŠTVIMA U JAVNOM SEKTORU;170413677.69;59;7;13.23
2026;3232;USLUGE TEKUĆEG I INVESTICIJSKOG ODRŽAVANJA;155644568.64;5475;609;12.09
2026;3811;TEKUĆE DONACIJE U NOVCU;58152745.17;2957;778;4.52
2026;4511;DODATNA ULAGANJA NA GRAĐEVINSKIM OBJEKTIMA;54383733.47;560;131;4.22
2026;4214;OSTALI GRAĐEVINSKI OBJEKTI;47298255.25;793;151;3.67
2026;3132;DOPRINOSI ZA OBVEZNO ZDRAVSTVENO OSIGURANJE;43373830.54;3400;308;3.37
